Sl. No.,Client Name,Order type,Start Date,End Date,Order Id,Delivery Id,Product Name,Sub Product Name,Location Name,Internal Key,Invoice No
33,Groz Engineering Tools (P) Ltd., Groz Net Industries,Diagnose,2017/07/11,2017/07/11,100781,54,Diagnosis half a day ,Connecting with Clients,MLA office,54#81
34,HSBC Global Financial Centre,Diagnose,2017/07/11,2017/07/11,130785,57,Diagnosis half a day ,Pause  Align & Act,Delhi NCR,57#85
35,Pearson India Education Services Pvt Ltd,Diagnose,2017/06/27,2017/06/27,140673,52,Diagnosis half a day ,People Manager,Noida,52#73
36,Delhivery,Diagnose,2017/06/20,2017/06/20,150674,48,Diagnosis  Full day ,Vital leader,Gurgaon,48#74
37,Confederation of Indian Industry,Diagnose,2017/06/08,2017/06/08,150563,46,Profile Personal Impact ,Executive Presence,Gurgaon,46#63
38,Confederation of Indian Industry,Diagnose,2017/06/06,2017/06/06,150563,45,Diagnosis half a day ,Executive Presence,Gurgaon,45#63
39,Penguin Random House India Pvt Ltd,Diagnose,2017/05/15,2017/05/15,100560,44,Diagnosis half a day ,Communicating with Impact,Delhi NCR,44#60
40,Dunnhumby IT Services India Pvt. Ltd,Diagnose,2017/05/09,2017/05/09,280459,47,Diagnosis half a day ,Experiential Facilitator,Delhi,47#59
41,Genpact India Private Limited,Diagnose,2017/03/15,2017/03/15,140348,43,Diagnosis  Full day ,Impact And Influence,Hauz Khas MLA Office,43#48
42,Pernod Ricard India (P) Limited,Diagnose,2017/03/06,2017/03/06,060345,42,Diagnosis  Full day ,Collaboration,Gurgaon,42#45
43,Genpact India Private Limited,Diagnose,2017/03/01,2017/03/01,050778,56,Diagnosis  Full day ,Impact And Influence,Gurgaon,56#78
44,MaxLife Insurance Company Ltd.,Diagnose,2017/02/14,2017/02/14,140241,41,Diagnosis half a day ,Change Management,Hauz Khas MLA Office,41#41
45,Genpact India Private Limited,Diagnose,2017/02/01,2017/02/02,090130,35,,Personal Impact,Office,35#30
46,FIL Research India Private Limited,Diagnose,2017/01/30,2017/01/30,140242,40,Diagnosis half a day ,Diversity,Hauz Khas MLA Office,40#42
47,HSBC Global Financial Centre,Diagnose,2017/01/25,2017/01/25,100132,34,Diagnosis  Full day ,Leading your team,Delhi,34#32
48,RBS,Diagnose,2017/01/19,2017/01/19,170133,36,Diagnosis half a day ,ACE Team,Over the phone,36#33
49,Penguin Random House India Pvt Ltd,Diagnose,2016/09/20,2016/09/20,080238,39,,Personal Impact,Delhi,39#38
50,Penguin Random House India Pvt Ltd,Diagnose,2016/09/18,2016/09/18,080238,38,Diagnosis  Full day ,The Leadership Journey,Gurgaon,38#38
51,Soprasteria India Pvt Ltd,Diagnose,12/23/2016,12/23/2016,040125,30,Diagnosis  Full day ,Personal Impact,Hauz Khas MLA Office,30#25
52,Dunnhumby IT Services India Pvt. Ltd,Diagnose,12/19/2016,12/19/2016,040127,32,Diagnosis half a day ,Interviewing Skills,Phone,32#27
53,Max Healthcare Institute Limited,Diagnose,11/30/2016,11/30/2016,241112,22,Diagnosis  Full day ,Team Building,Gurgaon/ Saket,22#12
54,American Express India Private Limited,Diagnose,11/23/2016,11/24/2016,221107,24,Diagnosis half a day ,Impact And Influence,Gurgaon,24#7
55,SRF Ltd.,Diagnose,10/27/2016,10/29/2016,040454,16,Diagnosis  Full day ,Dramatic shift,noida,16#54
56,Genpact India Private Limited,Diagnose,10/11/2016,10/17/2016,140349,7,Customised Pre- assesment Meter,Leading the way,noida,7#49
57,Genpact India Private Limited,Diagnose,10/10/2016,10/12/2016,140349,8,Care Thermometer,Leading your team,noida,8#49
58,SRF Ltd.,Diagnose,08/16/2016,08/16/2016,281113,23,Diagnosis  Full day ,Leading your team,Gurgaon,23#13
59,Edelweiss Financial Services Ltd.,Diagnose,02/06/2017,02/06/2017,291224,29,Diagnosis  Full day ,Collaboration,Dubai,29#24
60,SRF Ltd.,Diagnose,01/18/2017,01/19/2017,291223,28,Profile Ace Teams,,Gurgaon,28#23
61,Genpact India Private Limited,Diagnose,01/16/2017,01/17/2017,090130,33,Diagnosis  Full day ,Personal Impact,Gurgaon,33#30
62,Nangia & Company,Diagnose,01/05/2017,01/05/2017,281222,25,Diagnosis  Full day ,Team Building,Noida,25#22
63,SRF Ltd.,Diagnose,01/05/2017,01/05/2017,291223,26,Diagnosis  Full day ,,Gurgaon,26#23
64,Soprasteria India Pvt Ltd,Diagnose,01/02/2017,01/05/2017,040125,31,,Personal Impact,Office,31#25
65,Edelweiss Financial Services Ltd.,Design,2018-05-02,2018-05-02,1909119,74,Design Half Day,Emerging Leaders: Collaboration,Delhi,74#119
66,GlaxoSmithKline,Design,2018-04-27,2018-04-27,2404192,75,Design Half Day,Leading Performance Through Change,Office,75#192
67,FIL Research India Private Limited,Design,2018-04-26,2018-04-26,2704195,76,Design Half a day,ACE Team,Delhi NCR,76#195
68,GlaxoSmithKline,Design,2018-04-20,2018-04-20,1304190,73,Design Half Day,IN IT TOGETHER,Office,73#190
69,IT Fosters Testing,Design,2018-04-11,2018-04-11,190899,71,Design Full Day,Campus to Corporate,Office,71#99
70,Edelweiss Financial Services Ltd.,Design,2018-04-11,2018-04-11,1104188,72,Design Half Day,Disruptive Execution ,New Delhi ,72#188
71,HSBC Operations,Design,2018-04-06,2018-04-06,2103184,68,Design Half a day,JUICE,MLA Office,68#184
72,MaxLife Insurance Company Ltd.,Design,2018-03-27,2018-03-27,1203179,65,Design Full Day,IN IT TOGETHER,Office,65#179
73,Edelweiss Securities Ltd,Design,2018-03-05,2018-03-05,1503181,66,Design Half a day,Networking Skills,New Delhi ,66#181
74,HSBC Global Financial Centre,Design,2018-02-19,2018-02-19,0903175,64,Design Half a day,Personal Impact,MLA Office,64#175
75,GlaxoSmithKline,Design,2018-02-09,2018-02-09,0702169,62,Design Full Day,Personal Impact,Office,62#169
76,Columbia Sportswear,Design,2018-02-09,2018-02-09,2702171,63,Design Half Day,ACE Team,Office,63#171
77,GlaxoSmithKline,Design,2018-01-29,2018-01-29,3101167,60,Design Full Day,Creating awareness around- Courage  Accountability  Development and Teamwork,Office,60#167
78,GlaxoSmithKline,Design,2018-01-29,2018-01-29,3101168,61,Design Half Day,Creating awareness around- Courage  Accountability  Development and Teamwork,Office,61#168
79,Max Healthcare Institute Limited,Design,2018-01-19,2018-01-19,1101162,56,Design Full Day,Camelot Court,Office,56#162
80,MaxLife Insurance Company Ltd.,Design,2018-01-18,2018-01-18,1201164,58,Design Full Day,IN IT TOGETHER,MLA Office,58#164
81,MaxLife Insurance Company Ltd.,Design,2018-01-17,2018-01-18,1601165,59,Design Half Day,JUICE,Office,59#165
82,Edelweiss Financial Services Ltd.,Design,2018-01-10,2018-01-10,1909119,55,Design Half Day,Emerging Leaders: Communication,Delhi,55#119
83,Genpact India Private Limited,Design,2017-12-27,2017-12-28,1201163,57,Design Full Day,Diversity,MLA Office,57#163
84,Max Healthcare Institute Limited,Design,2017-12-19,2017-12-19,0612154,54,Design Full Day,JUICE,MLA office,54#154
85,JSW Steel Limited,Design,2017-11-29,2017-11-29,0112152,53,Design Half Day,Leadership Impact,New Delhi,53#152
86,MaxLife Insurance Company Ltd.,Design,2017-11-28,2017-11-28,1711143,48,Design Full Day,JUICE,MLA office,48#143
87,IDFC Asset Management Company Ltd,Design,2017-11-24,2017-11-24,2011146,51,Design Half a day,Leading your team,MLA office,51#146
88,MaxLife Insurance Company Ltd.,Design,2017-11-23,2017-11-23,1711144,49,Design Full Day,JUICE,Home,49#144
89,Edelweiss Financial Services Ltd.,Design,2017-11-21,2017-11-21,0811140,45,Design Half Day,Psychology of Peak Perfomance,Delhi NCR,45#140
90,Nestle India Limited,Design,2017-11-19,2017-11-19,1010131,42,Design Half Day,Communicating with Impact,MLA office,42#131
91,EY,Design,2017-11-16,2017-11-16,1611142,47,Design Half a day,JUICE,MLA Office,47#142
92,Max Healthcare Institute Limited,Design,2017-11-08,2017-11-08,0911141,46,Design Full Day,JUICE,MLA office,46#141
93,Fortis Healthcare Limited,Design,2017-11-01,2017-11-01,2011145,50,Design Full Day,Reaching Your Peak,Home,50#145
94,Edelweiss Financial Services Ltd.,Design,2017-10-25,2017-10-25,2410134,43,Design Half Day,Personal Impact,Delhi NCR,43#134
95,Sopra India Pvt. Ltd.,Design,2017-10-23,2017-10-23,0910130,41,Design Half Day,Leading your team,Office,41#130
96,MaxLife Insurance Company Ltd.,Design,2017-10-05,2017-10-05,0410127,39,Design Full Day,JUICE,Office,39#127
97,GlaxoSmithKline,Design,2017-09-29,2017-09-29,2709125,38,Design Half Day,Personal Impact,Office,38#125
98,Genpact India Private Limited,Design,2017-09-28,2017-09-29,2811150,52,Design Full Day,Diversity,MLA office,52#150
99,Coca Cola India Private Limited,Design,2017-09-26,2017-09-26,2009120,37,Design Half Day,Sexual Harassment,MLA office,37#120
100,SRF Ltd.,Design,2017-09-07,2017-09-07,0609111,34,Design Half a day,JUICE,Gurgaon,34#111
101,Edelweiss Financial Services Ltd.,Design,2017-09-05,2017-09-05,1509115,35,Design Half Day,Networking Skills,Office,35#115
102,Edelweiss Financial Services Ltd.,Design,2017-08-08,2017-08-08,180790,32,Design Half a day,Commitment & Drive,Delhi,32#90
103,Edelweiss Financial Services Ltd.,Design,2017-08-08,2017-08-08,1909119,36,Design Half a day,Emerging Leaders Journey - Commitment & Drive,Delhi NCR,36#119
104,HSBC Operations,Design,2017-08-04,2017-08-04,280794,31,Design Half a day,Line Managers,Hyderabad,31#94
105,Coca Cola India Private Limited,Design,2017-07-24,2017-07-26,160675,29,Design Full Day,Book,hriyana,29#75
106,Coca Cola India Private Limited,Design,2017-07-18,2017-07-18,120782,17,Design Half a day,Reaching Your Peak,MLA office,17#82
107,Coca Cola India Private Limited,Design,2017-07-17,2017-07-18,170789,27,Design Full Day,Book,noida,27#89
108,Ericsson India Private Limited,Design,2017-07-14,2017-07-14,070780,19,Design Half a day,Impact And Influence,Gurgaon,19#80
109,Groz Engineering Tools (P) Ltd., Groz Net Industries,Design,2017-07-13,2017-07-13,100781,18,Design Half a day,Connecting with Clients,MLA office,18#81
110,Delhivery,Design,2017-06-21,2017-06-21,150674,14,Design Half a day,Vital leader,Gurgaon,14#74
111,Confederation of Indian Industry,Design,2017-06-08,2017-06-08,150563,12,Design Half a day,Executive Presence,Delhi NCR,12#63
112,Penguin Random House India Pvt Ltd,Design,2017-05-15,2017-05-15,100560,11,Design Half a day,Communicating with Impact,Delhi NCR,11#60
113,Genpact India Private Limited,Design,2017-05-03,2017-05-03,190565,13,Design Full Day,Collaboration,Hyderabad,13#65
114,Genpact India Private Limited,Design,2017-03-16,2017-03-16,140348,10,Design Full Day,Impact And Influence,Hauz Khas MLA office,10#48
115,Pernod Ricard India (P) Limited,Design,2017-03-07,2017-03-07,060345,9,Design Half a day,Collaboration,Hauz Khas MLA office,9#45
116,Genpact India Private Limited,Design,2017-03-06,2017-03-07,050778,20,Design Full Day,Impact And Influence,MLA office,20#78
117,MaxLife Insurance Company Ltd.,Design,2017-02-14,2017-02-14,140241,8,Design Half a day,Change Management,Hauz Khas MLA office,8#41
118,FIL Research India Private Limited,Design,2017-01-30,2017-01-30,140242,7,Design Half a day,Diversity,Hauz Khas MLA office,7#42
119,Genpact India Private Limited,Design,2017-01-19,2017-01-19,090130,5,Design Full Day,Personal Impact,Gurgaon,5#30
120,RBS,Design,2017-01-19,2017-01-19,170133,6,Design Half a day,ACE Team,Delhi,6#33
121,Soprasteria India Pvt Ltd,Design,2017-01-03,2017-01-03,040125,4,Design Half a day,Personal Impact,Office,4#25
122,Max Healthcare Institute Limited,Design,2016-12-03,2016-12-03,241112,2,Design Full Day,Team Building,Gurgaon,2#12
123,American Express India Private Limited,Design,2016-11-28,2016-11-28,221107,1,Design Half a day,Impact And Influence,Hauz Khas,1#7
124,Delhivery,Delivery,2018-05-07,2018-05-07,0702170,1131,Executive Coaching (90 Mins) in Person (if 1 is done in a day),Session 7,Gurgaon,1131#170
125,IDFC Asset Management Company Ltd,Delivery,2018-05-03,2018-05-03,2112157,949,Executive Coaching (90 Mins) in Person (if 3 is done in a day),Session 5,Mumbai,949#157
126,Schneider Electric India Pvt Ltd,Delivery,2018-05-03,2018-05-03,2504194,1127,Workshop  Half Day Outside Delhi NCR,Personal Impact,Bangalore,1127#194
127,Schneider Electric India Pvt Ltd,Delivery,2018-05-03,2018-05-03,2504194,1128,Learning Material / Handout & Folders,Personal Impact,Bangalore,1128#194
128,GlaxoSmithKline,Delivery,2018-05-02,2018-05-02,2404192,1118,Workshop Full Day,Leading Performance Through Change,Gurgaon,1118#192
129,GlaxoSmithKline,Delivery,2018-05-02,2018-05-02,2404192,1120,Learning Material / Handout & Folders,Leading Performance Through Change,Gurgaon,1120#192
130,FIL Research India Private Limited,Delivery,2018-04-30,2018-04-30,2704195,1129,Workshop  Half Day Within Delhi NCR,ACE Team,Delhi,1129#195
131,FIL Research India Private Limited,Delivery,2018-04-30,2018-04-30,2704195,1130,Learning Material / Handout & Folders,ACE Team,Delhi,1130#195
132,Delhivery,Delivery,2018-04-27,2018-04-27,0702170,1109,Executive Coaching (90 Mins) in Person (if 1 is done in a day),Session 6,Gurgaon,1109#170
133,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-04-26,2018-04-27,0404185,1072,Leading your Team,Leading the Way,Pune,1072#185
134,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-04-26,2018-04-27,0404185,1073,Learning Material / Handout & Folders,Leading the Way,Pune,1073#185
135,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-04-26,2018-04-27,0404185,1074,Do It Now- How to engage talent ,Leading the Way,Pune,1074#185
136,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-04-26,2018-04-27,0404185,1075,Workshop Full Day,Leading the Way,Pune,1075#185
137,GlaxoSmithKline,Delivery,2018-04-26,2018-04-26,1304190,1105,Workshop  Half Day Outside Delhi NCR,IN IT TOGETHER,Nainital,1105#190
138,GlaxoSmithKline,Delivery,2018-04-26,2018-04-26,1304190,1106,Learning Material / Handout & Folders,IN IT TOGETHER,Nainital,1106#190
139,JSW Steel Limited,Delivery,2018-04-24,2018-04-25,0301159,1079,Learning Material / Handout & Folders,Leadership Impact,Tarapur  Maharashtra,1079#159
140,JSW Steel Limited,Delivery,2018-04-24,2018-04-25,0301159,1081,Workshop Full Day,Leadership Impact,Tarapur  Maharashtra,1081#159
141,HSBC Operations,Delivery,2018-04-23,2018-04-25,2103184,1066,Workshop Full Day,JUICE,Bangalore,1066#184
142,HSBC Operations,Delivery,2018-04-23,2018-04-25,2103184,1067,Certificate,JUICE,Bangalore,1067#184
143,HSBC Operations,Delivery,2018-04-23,2018-04-25,2103184,1068,Learning Material / Handout & Folders,JUICE,Bangalore,1068#184
144,GlaxoSmithKline,Delivery,2018-04-24,2018-04-24,2709125,749,Implementation Day,Personal Impact,Gurgaon,749#125
145,Edelweiss Financial Services Ltd.,Delivery,2018-04-23,2018-04-23,1909119,1112,Assessment Meter,Emerging Leaders: Collaboration,Delhi,1112#119
146,JSW Steel Limited,Delivery,2018-04-19,2018-04-20,0301159,1078,Learning Material / Handout & Folders,Leadership Impact,Tarapur  Maharashtra,1078#159
147,JSW Steel Limited,Delivery,2018-04-19,2018-04-20,0301159,1080,Workshop Full Day,Leadership Impact,Tarapur  Maharashtra,1080#159
148,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-04-19,2018-04-20,1403180,1052,Workshop Full Day,Leading the Way,Coimbatore,1052#180
149,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-04-19,2018-04-20,1403180,1053,Do It Now- How to engage talent ,Leading the Way,Coimbatore,1053#180
150,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-04-19,2018-04-20,1403180,1054,Learning Material / Handout & Folders,Leading the Way,Coimbatore,1054#180
151,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-04-19,2018-04-20,1403180,1055,Leading your Team,Leading the Way,Coimbatore,1055#180
152,RBS,Delivery,2018-04-20,2018-04-20,0404186,1103,Expresso Session within NCR,Voice Master - use tone  pitch & pace to communicate more impact fully,Gurgaon - Video Conferencing,1103#186
153,RBS,Delivery,2018-04-20,2018-04-20,0404186,1104,Expresso Session within NCR,Communicating with Courage & Consideration,Gurgaon - Webinar,1104#186
154,RBS,Delivery,2018-04-19,2018-04-19,0404186,1101,Expresso Session within NCR,Less is more,Gurgaon - Webinar,1101#186
155,RBS,Delivery,2018-04-19,2018-04-19,0404186,1102,Expresso Session within NCR,Communicating effectively with Millennial - Panel Induction with external industry leader ,Gurgaon,1102#186
156,GlaxoSmithKline,Delivery,2018-04-18,2018-04-18,0603172,1021,Expresso Session within NCR,Body Language,Gurgaon,1021#172
157,RBS,Delivery,2018-04-18,2018-04-18,0404186,1100,Expresso Session within NCR,Stage Fright - Butterflies in formation,Mumbai,1100#186
158,GlaxoSmithKline,Delivery,2018-04-17,2018-04-17,0603172,1020,Expresso Session within NCR,Storytelling,Gurgaon,1020#172
159,MaxLife Insurance Company Ltd.,Delivery,2018-04-16,2018-04-17,1203179,1045,Workshop Full Day,IN IT TOGETHER,Goa,1045#179
160,MaxLife Insurance Company Ltd.,Delivery,2018-04-16,2018-04-17,1203179,1046,Learning Material / Handout & Folders,IN IT TOGETHER,Gurgaon,1046#179
161,MaxLife Insurance Company Ltd.,Delivery,2018-04-16,2018-04-17,1203179,1047,Certificate,IN IT TOGETHER,Gurgaon,1047#179
162,MaxLife Insurance Company Ltd.,Delivery,2018-04-16,2018-04-17,1203179,1048,Trust Contract,IN IT TOGETHER,Gurgaon,1048#179
163,RBS,Delivery,2018-04-17,2018-04-17,0404186,1098,Expresso Session within NCR,Voice Master - use tone  pitch & pace to communicate more impact fully,Gurgaon - Video Conferencing,1098#186
164,RBS,Delivery,2018-04-17,2018-04-17,0404186,1099,Expresso Session within NCR,Communicating with Courage & Consideration,Gurgaon - Webinar,1099#186
165,Delhivery,Delivery,2018-04-16,2018-04-16,0702170,1077,Executive Coaching (90 Mins) in Person (if 1 is done in a day),Session 5,Gurgaon,1077#170
166,GlaxoSmithKline,Delivery,2018-04-16,2018-04-16,0603172,1019,Expresso Session within NCR,Assertiveness,Gurgaon,1019#172
167,RBS,Delivery,2018-04-16,2018-04-16,0404186,1096,Expresso Session within NCR,Speech Master - impromptu speech competition,Gurgaon,1096#186
168,RBS,Delivery,2018-04-16,2018-04-16,0404186,1097,Expresso Session within NCR,Once Upon a Time - Make Engaging Business Presentation  using the art of story telling,Gurgaon - Video Conferencing,1097#186
169,MaxLife Insurance Company Ltd.,Delivery,2018-04-15,2018-04-15,1203179,1132,Sunday Travel,IN IT TOGETHER,Delhi-Mumbai,1132#179
170,Edelweiss Financial Services Ltd.,Delivery,2018-04-14,2018-04-14,1104188,1093,Workshop  Half Day Outside Delhi NCR,Disruptive Execution ,Mumbai,1093#188
171,Edelweiss Financial Services Ltd.,Delivery,2018-04-14,2018-04-14,1104188,1095,Learning Material / Handout & Folders,Disruptive Execution ,Mumbai ,1095#188
172,GlaxoSmithKline,Delivery,2018-04-12,2018-04-13,0603173,1023,Workshop Full Day,Presenting with Presence,Gurgaon,1023#173
173,GlaxoSmithKline,Delivery,2018-04-12,2018-04-13,0603173,1024,Perfect Presentation,Book,Gurgaon,1024#173
174,GlaxoSmithKline,Delivery,2018-04-12,2018-04-13,0603173,1025,Learning Material / Handout & Folders,Presenting with Presence,Gurgaon,1025#173
175,GlaxoSmithKline,Delivery,2018-04-12,2018-04-13,0603173,1026,Certificate,Presenting with Presence,Gurgaon,1026#173
176,GlaxoSmithKline,Delivery,2018-04-12,2018-04-13,0603173,1043,Do It Now-  How to Present,Cards,Gurgaon,1043#173
177,GlaxoSmithKline,Delivery,2018-04-12,2018-04-13,0603173,1044,Stage Management,Presenting with Presence,Gurgaon,1044#173
178,GlaxoSmithKline,Delivery,2018-04-12,2018-04-13,0603173,1069,Pen Drive,Presenting with Presence,Gurgaon,1069#173
179,Edelweiss Financial Services Ltd.,Delivery,2018-04-13,2018-04-13,1104188,1094,Workshop Full Day,Disruptive Execution ,Mumbai ,1094#188
180,IDFC Asset Management Company Ltd,Delivery,2018-04-09,2018-04-09,2112157,948,Executive Coaching (90 Mins) in Person (if 3 is done in a day),Session 4,Mumbai,948#157
181,HSBC Global Financial Centre,Delivery,2018-04-05,2018-04-06,0903175,1035,Coaching Call 45 minutes,Personal Impact,On-call,1035#175
182,Delhivery,Delivery,2018-04-05,2018-04-05,0809112,1065,In Person Coaching Session (90 minutes),Vital leader,Gurgaon,1065#112
183,Delhivery,Delivery,2018-04-05,2018-04-05,0702170,1070,Executive Coaching (90 Mins) in Person (if 1 is done in a day),Session 4,Gurgaon,1070#170
184,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-04-04,2018-04-04,0612153,914,Group Coaching Call (60 Min),Leading the Way,On call,914#153
185,GlaxoSmithKline,Delivery,2018-04-04,2018-04-04,2003183,1063,Expresso Session outside NCR,Personal Impact,Hyderabad,1063#183
186,GlaxoSmithKline,Delivery,2018-04-03,2018-04-04,2003183,1064,Learning Material / Handout & Folders,Personal Impact,Gurgaon,1064#183
187,Edelweiss Financial Services Ltd.,Delivery,2018-04-02,2018-04-03,2410134,798,Coaching Call 45 minutes,Personal Impact,On Call,798#134
188,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-04-03,2018-04-03,0612153,913,Group Coaching Call (60 Min),Leading the Way,On call,913#153
189,GlaxoSmithKline,Delivery,2018-04-03,2018-04-03,2003183,1062,Expresso Session within NCR,Personal Impact,Gurgaon,1062#183
190,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-03-28,2018-03-29,0612153,912,Coaching Call 45 minutes,Impact And Influence,MLA Office,912#153
191,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-03-28,2018-03-29,0903176,1039,Learning Material / Handout & Folders,Impact And Influence,Pune,1039#176
192,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-03-28,2018-03-29,0903176,1040,Workshop Full Day,Impact And Influence,Pune,1040#176
193,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-03-28,2018-03-29,0903176,1051,Charisma Effect,Impact And Influence,Pune,1051#176
194,Delhivery,Delivery,2018-03-28,2018-03-28,0702170,1061,Executive Coaching (90 Mins) in Person (if 1 is done in a day),Session 3,Gurgaon,1061#170
195,Maynardleigh Associates,Delivery,2018-03-27,2018-03-28,0903177,1041,Open Workshop Presenting With Presence,Presenting with Presence,Delhi NCR,1041#177
196,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-03-26,2018-03-27,0612153,908,Coaching Call 45 minutes,Impact And Influence,MLA Office,908#153
197,Sumitomo Mitsui Banking Corporation,Delivery,2018-03-24,2018-03-24,0803174,1027,Workshop  Half Day Within Delhi NCR,JUICE,NCR,1027#174
198,IDFC Asset Management Company Ltd,Delivery,2018-03-23,2018-03-23,2112157,947,Executive Coaching (90 Mins) in Person (if 3 is done in a day),Session 3,Mumbai,947#157
199,GlaxoSmithKline,Delivery,2018-03-22,2018-03-23,0702169,1013,Workshop Full Day,Personal Impact,Gurgaon,1013#169
